LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,QALD
bury_in_1,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbo:restingPlace,dbo:Person,dbo:City,Qald9-training
bury_in_2,verb,bury,buries,buried,buried,in,IntransitivePPFrame,domain,range,1,dbp:burialPlace,dbo:Person,dbo:City,Qald9-training
found_in_1,verb,found,found,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,Qald9-training
found_in_2,verb,found,found,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundationPlace,dbo:Company,dbo:Country,Qald9-training
found_in_4,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,2,dbo:foundingDate,dbo:Settlement,xsd:gYear,Qald9-training
found_in_5,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:gYear,Qald9-training
found_in_6,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbp:founded,dbo:Organisation,xsd:date,Qald9-training
found_in_7,verb,found,founds,founded,founded,in,IntransitivePPFrame,range,domain,1,dbo:govermentType,dbo:Organisation,xsd:string,Qald9-training
commence_on_1,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date,Qald9-training
commence_on_2,verb,commence,commences,commenced,commenced,on,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date,Qald9-training
KnownFor_1,verb,known,known,known,known,for,IntransitivePPFrame,domain,range,1,dbo:knownFor,dbo:Scientist,dbo:MilitaryUnit,Qald9-training
locate_in_1,verb,locate,locates,located,located,in,IntransitivePPFrame,range,domain,1,dbo:country,dbo:City,dbo:Country,Qald9-training
locate_in_2,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location,Qald9-training
locate_in_3,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,6,dbo:locatedInArea,dbo:Place,dbo:Place,Qald9-training
locate_in_4,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:location,dbo:Organisation,dbo:Place,Qald9-training
locate_in_5,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,3,dbo:city,dbo:Airport,dbo:City,Qald9-training
locate_in_6,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:locatedInArea,dbo:Mountain,dbo:Country,Qald9-training
locate_in_7,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:state,dbo:University,dbo:State,Qald9-training
live_in_1,verb,live,lives,lived,lived,in,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Person,dbo:City,Qald9-training
live_in_2,verb,live,lives,lived,lived,in,IntransitivePPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:double,Qald9-training
live_in_3,verb,live,lives,lived,lived,in,IntransitivePPFrame,range,domain,1,dbo:ethnicGroup,dbo:Country,xsd:string,Qald9-training
flow_through_1,verb,flow,flows,flowed,flown,through,IntransitivePPFrame,range,domain,1,dbo:city,dbo:River,dbo:City,Qald9-training
flow_through_2,verb,flow,flows,flowed,flown,through,IntransitivePPFrame,range,domain,1,dbp:country,dbo:River,dbo:Country,Qald9-training
start_in_1,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:Road,dbo:Road,Qald9-training
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbp:mouthLocation,dbo:River,dbo:Country,Qald9-training
fight_in_1,verb,fight,fights,fought,fought,in,IntransitivePPFrame,range,domain,1,dbp:date,dbo:MilitaryConflict,xsd:date,Qald9-training
produced_in_1,verb,produce,produces,produced,produced,in,IntransitivePPFrame,domain,range,1,dbo:wineProduced,dbo:Company,dbo:Location,Qald9-training
stand_for_2,verb,stand,stands,stood,stood,for,IntransitivePPFrame,domain,range,1,dbo:abbreviation,owl:Thing,xsd:string,Qald9-training
starr_in_3,verb,star,stars,starred,starred,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Actor,Qald9-training
draft_in_1,verb,draft,drafts,drafted,drafted,in,IntransitivePPFrame,domain,range,1,dbo:draftYear,dbo:AmericanFootballPlayer,xsd:gYear,Qald9-training
build_in_1,verb,build,builds,built,built,in,IntransitivePPFrame,range,domain,1,dbo:buildingStartDate,dbo:ArchitecturalStructure,xsd:gYear,Qald9-training
build_in_2,verb,build,builds,built,built,in,IntransitivePPFrame,range,domain,1,dbp:beginningDate,dbo:ArchitecturalStructure,xsd:gYear,Qald9-training
inaugurate_in_1,verb,inaugurate,inaugurates,inaugurated,inaugurated,in,IntransitivePPFrame,range,domain,1,dbo:openingDate,dbo:ArchitecturalStructure,xsd:gYear,Qald9-training
founded_on_1,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date,Qald9-training
founded_on_2,verb,found,founds,founded,founded,on,IntransitivePPFrame,range,domain,4,dbo:formationDate,dbo:PoliticalParty,xsd:date,Qald9-training
released_on_1,verb,release,releases,released,released,at,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:TelevisionShow,xsd:date,Qald9-training
released_on_2,verb,release,releases,released,released,on,IntransitivePPFrame,domain,range,1,dbo:computingPlatform,dbo:Software,owl:Thing,Qald9-training
published_on_1,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Song,xsd:date,Qald9-training
published_on_2,verb,publish,publishes,published,published,on,IntransitivePPFrame,range,domain,1,dbo:publicationDate,dbo:Book,xsd:date,Qald9-training
published_in_1,verb,publish,publishes,published,published,in,IntransitivePPFrame,range,domain,1,dbp:published,dbo:Song,xsd:gYear,Qald9-training
published_in_2,verb,publish,publishes,published,published,in,IntransitivePPFrame,range,domain,1,dbo:publicationDate,dbo:Book,xsd:gYear,Qald9-training
destroy_on_1,verb,destroy,destroys,destroyed,destroyed,on,IntransitivePPFrame,range,domain,1,dbo:demolitionDate,dbo:ArchitecturalStructure,xsd:date,Qald9-training
rebuild_on_1,verb,rebuild,rebuilds,rebuilt,rebuilt,on,IntransitivePPFrame,range,domain,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:date,Qald9-training
rebuild_in_2,verb,rebuild,rebuilds,rebuilt,rebuilt,in,IntransitivePPFrame,range,domain,1,dbo:rebuildingDate,dbo:ArchitecturalStructure,xsd:gYear,Qald9-training
reopen_on_1,verb,reopen,reopens,reopened,reopened,on,IntransitivePPFrame,range,domain,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:date,Qald9-training
reopen_in_2,verb,reopen,reopens,reopened,reopened,in,IntransitivePPFrame,range,domain,1,dbo:reopeningDate,dbo:ArchitecturalStructure,xsd:gYear,Qald9-training
discontinue_on_1,verb,discontinue,discontinues,discontinued,discontinued,on,IntransitivePPFrame,range,domain,1,dbo:discontinued,dbo:Beverage,xsd:date,Qald9-training
discontinue_in_1,verb,discontinue,discontinues,discontinued,discontinued,in,IntransitivePPFrame,range,domain,1,dbo:discontinued,dbo:Beverage,xsd:gYear,Qald9-training
introduced_on_1,verb,introduce,introduces,introduced,introduced,on,IntransitivePPFrame,range,domain,1,dbo:introduced,dbo:Beverage,xsd:date,Qald9-training
introduced_in__2,verb,introduce,introduces,introduced,introduced,in,IntransitivePPFrame,range,domain,1,dbo:introduced,dbo:Beverage,xsd:gYear,Qald9-training
open_on_1,verb,open,opens,opened,opened,on,IntransitivePPFrame,range,domain,1,dbo:openingDate,dbo:Bridge,xsd:date,Qald9-training
open_in_1,verb,open,opens,opened,opened,in,IntransitivePPFrame,range,domain,1,dbo:openingYear,dbo:Bridge,xsd:gYear,Qald9-training
produced_on_1,verb,produce,produced,produced,produced,on,IntransitivePPFrame,range,domain,1,dbo:productionDate,dbo:Film,xsd:date,Qald9-training
establish_in_1,verb,establish,establishes,established,established,in,IntransitivePPFrame,range,domain,1,dbo:firstPublicationYear,dbo:PeriodicalLiterature,xsd:gYear,Qald9-training
form_in_1,verb,form,forms,formed,formed,in,IntransitivePPFrame,range,domain,1,dbo:activeYearsStartYear,dbo:Band,xsd:date,Qald9-training
compose_for_2,verb,compose,composes,composed,composed,for,IntransitivePPFrame,domain,range,2,dbo:composer,dbo:Work,dbo:Person,Qald9-training
compose_for_3,verb,compose,composes,composed,composed,for,IntransitivePPFrame,domain,range,3,dbp:music,dbo:Work,dbo:Person,Qald9-training
work_for_1,verb,work,works,worked,worked,for,IntransitivePPFrame,domain,range,1,dbo:keyPerson,dbo:Organisation,dbo:Person,Qald9-training
work_for_2,verb,work,works,worked,worked,for,IntransitivePPFrame,domain,range,2,dbp:keyPeople,dbo:Organisation,dbo:Person,Qald9-training
start_acting_on_1,verb,start acting,starts acting,started acting,started acting,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsStartYear,dbo:Actor,xsd:date,Qald9-training
stop_acting_on_2,verb,stop acting,stops acting,stopped acting,stopped acting,on,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndYear,dbo:Actor,xsd:date,Qald9-training
fight_in_1,verb,fight,fights,fought,fought,in,IntransitivePPFrame,range,domain,1,dbo:combatant,dbo:MilitaryConflict,xsd:string,Qald9-training
play_in_1,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,1,dbo:member,dbo:Person,dbo:Band,Qald9-training
play_in_2,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,3,dbo:position,dbo:Person,owl:Thing,Qald9-training
split_up_in_1,verb,split,splits,splited,splited,up,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndYear,dbo:Band,xsd:date,Qald9-training
study_at_1,verb,study,studies,studied,studied,at,IntransitivePPFrame,domain,range,1,dbo:education,dbo:Person,dbo:EducationalInstitution,Qald9-training
relate_to_1,verb,relate,is related,related,related,to,IntransitivePPFrame,domain,range,1,dbo:related,dbo:Beverage,dbo:Beverage,Qald9-training
record_in_1,verb,record,records,recored,recored,in,IntransitivePPFrame,domain,range,1,dbo:recordedIn,dbo:MusicalWork,dbo:PopulatedPlace,Qald9-training
belong_to_1,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,3,dbp:album,dbo:Song,dbo:Album,Qald9-training
belong_to_3,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,2,dbp:genre,dbo:Album,dbo:Genre,Qald9-training
belong_to_4,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,4,dbo:genre,dbo:Film,dbo:Genre,Qald9-training
belong_to_6,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,6,dbp:party,dbo:Agent,dbo:PoliticalParty,Qald9-training
belong_to_7,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,7,dbo:literaryGenre,dbo:WrittenWork,dbo:Genre,Qald9-training
belong_to_8,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,8,dbo:mountainRange,dbo:Mountain,dbo:MountainRange,Qald9-training
belong_to_10,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,10,dbo:bandMember,dbo:Person,dbo:Band,Qald9-training
belong_to_12,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,12,dbo:series,dbo:Software,owl:Thing,Qald9-training
belong_to_15,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,15,dbo:subdivision,dbo:Settlement,dbo:Place,Qald9-training
belong_to_17,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,17,dbo:architecturalStyle,dbo:ArchitecturalStructure,owl:Thing,Qald9-training
belong_to_18,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,18,dbo:formerTeam,dbo:Athlete,dbo:SportsTeam,Qald9-training
belong_to_19,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,18,dbo:country,dbo:Island,dbo:Country,Qald9-training
play_for_1,verb,play,plays,played,played,for,IntransitivePPFrame,domain,range,1,dbo:debutTeam,dbo:Athlete,dbo:SportsTeam,Qald9-training
name_after_1,verb,name,named,named,named,after,IntransitivePPFrame,domain,range,1,dbo:namedAfter,dbo:Settlement,dbo:Agent,Qald9-training
associate_with_1,verb,associate,associated,associated,associated,with,IntransitivePPFrame,domain,range,1,dbo:associatedBand,dbo:Band,dbo:Band,Qald9-training
associate_with_2,verb,associate,associated,associated,associated,with,IntransitivePPFrame,domain,range,2,dbo:associatedMusicalArtist,dbo:Band,dbo:MusicalArtist,Qald9-training
associate_with_3,verb,associate,associated,associated,associated,with,IntransitivePPFrame,domain,range,3,dbo:movement,dbo:Artist,owl:Thing,Qald9-training
currently_use_for_1,verb,currently use,currently uses,currently used,currently used,for,IntransitivePPFrame,domain,range,1,dbo:currentlyUsedFor,dbo:ArchitecturalStructure,xsd:string,Qald9-training
initially_use_for_1,verb,initially use,initially uses,initially used,initially used,for,IntransitivePPFrame,domain,range,2,dbo:initiallyUsedFor,dbo:ArchitecturalStructure,xsd:string,Qald9-training
originate_in_1,verb,originate,originates,originated,originated,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:Stream,dbo:Country,Qald9-training
border_in_1,verb,border,borders,bordered,bordered,in,IntransitivePPFrame,domain,range,1,dbo:borderingstates,dbo:State,dbo:State,Qald9-training
study_in,verb,study,studies,studied,studied,in,IntransitivePPFrame,domain,range,1,dbo:education,dbo:Writer,dbo:EducationalInstitution,Qald9-training
launch_from,verb,launch,launches,launched,launched,from,IntransitivePPFrame,range,domain,1,dbp:launchPad,dbo:SpaceStation,dbo:Airport,Qald9-training
born_in_7,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Swimmer,dbo:City,Qald9-training
born_in_8,verb,born,-,born,born,in,IntransitivePPFrame,range,domain,1,dbo:birthDate,dbo:President,xsd:gYear,Qald9-training
play_for_2,verb,play,plays,played,played,for,IntransitivePPFrame,domain,range,1,dbo:team,dbo:Person,dbo:SportsClub,Qald9-training
run_through_1,verb,runs,ran,run,run,through,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Place,Qald9-training
designate_at_1,verb,designate,designates,designated,designated,at,IntransitivePPFrame,range,domain,1,dbo:year,dbo:Event,xsd:date,Qald9-training
assassinate_in,verb,assassinate,assassinates,assassinated,assassinated,in,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place,Qald9-training
originate_in_1,verb,originate,originates,originated,originated,in,IntransitivePPFrame,domain,range,1,dbo:origin,dbo:Beverage,dbo:Country,Qald9-training
extend_to_1,verb,extend,extends,extended,extended,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Country,Qald9-training
admitted_as,verb,admit,admits,admitted,admitted,as,IntransitivePPFrame,range,domain,1,dbp:admittancedate,dbo:Settlement,xsd:date,Qald9-training
establish_in_2,verb,establish,establishes,established,established,in,IntransitivePPFrame,domain,range,1,dbp:established,dbo:Agent,xsd:gYear,Qald9-training
record_for_1,verb,record,records,recorded,recorded,for,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:Work,xsd:date,Qald9-training
record_for_2,verb,record,records,recorded,recorded,for,IntransitivePPFrame,domain,range,1,dbo:recordLabel,dbo:Work,dbo:RecordLabel,Qald9-training
shot_in_1,verb,shot,shots,shot,shot,in,IntransitivePPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,Qald9-training
start_in_2,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:sourceCountry,dbo:River,dbo:Place,Qald9-training
start_at_3,verb,start,starts,started,started,at,IntransitivePPFrame,range,domain,1,dbo:date,dbo:Event,xsd:date,Qald9-training
end_his_active_career_1,verb,end his active career,-,-,-,in,IntransitivePPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Person,xsd:date,Qald9-training
speak_in_1,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:spokenIn,dbo:Language,dbo:Place,Qald9-training
speak_in_2,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Work,dbo:Language,Qald9-training
speak_in_3,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:officialLanguage,dbo:PopulatedPlace,dbo:Language,Qald9-training
born_on,verb,born,-,born,born,on,IntransitivePPFrame,domain,range,1,dbo:birthDate,dbo:President,xsd:gYear,Qald9-test
located_in,verb,locate,locates,located,located,in,IntransitivePPFrame,domain,range,1,dbo:location,dbo:Organisation,dbo:Place,Qald9-test
born_in,verb,born,-,born,born,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Swimmer,dbo:City,Qald9-test
die,verb,die,dies,died,died,-,IntransitivePPFrame,domain,range,1,dbp:deathCause,dbo:Person,dbo:Disease,Qald9-test
belong_to,verb,belong,belongs,belonged,belonged,to,IntransitivePPFrame,domain,range,1,dbp:taxon,dbo:Animal,xsd:string,Qald9-test
play_in,verb,play,plays,played,played,in,IntransitivePPFrame,domain,range,1,dbo:starring,dbo:Film,dbo:Person,Qald9-test
starring_in,verb,starr,starring,starred,starred,in,IntransitivePPFrame,domain,range,1,dbo:birthPlace,dbo:Swimmer,dbo:City,Qald9-test
die,verb,die,dies,died,died,in,IntransitivePPFrame,domain,range,1,dbo:deathDate,dbo:Person,xsd:date,Qald9-test
speak_in,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:spokenIn,dbo:Language,dbo:Place,Qald9-test
going_to_be,verb,-,-,-,-,-,IntransitivePPFrame,domain,range,1,dbo:releaseDate,dbo:Work,xsd:date,Qald9-test
speak_in,verb,speak,speaks,spoken,spoken,in,IntransitivePPFrame,domain,range,1,dbo:language,dbo:Work,dbo:Language,Qald9-test
flow_into,verb,flow,flows,flew,flew,into,IntransitivePPFrame,domain,range,1,dbo:riverMouth,dbo:BodyOfWater,dbo:River,Qald9-test
died_at,verb,die,dies,died,died,at,IntransitivePPFrame,domain,range,1,dbo:deathPlace,dbo:Person,dbo:Place,Qald9-test
start_in,verb,start,starts,started,started,in,IntransitivePPFrame,domain,range,1,dbo:routeStart,dbo:Road,dbo:Road,Qald9-test
founded_in,verb,found,founded,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,Qald9-test
take_place_in,verb,take place,takes place,took place,took place,in,IntransitivePPFrame,domain,range,1,dbp:date,dbo:MilitaryConflict,xsd:date,Qald9-test
established_in,verb,establish,establishes,established,established,in,IntransitivePPFrame,domain,range,1,dbp:established,dbo:Agent,xsd:gYear,Qald9-test
belong_to,verb,belong,belongs,belonged,belonged,-,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Mountain,dbo:Country,Qald9-test
founded_in,verb,founded,founded,founded,founded,in,IntransitivePPFrame,domain,range,1,dbo:foundingYear,dbo:Organisation,xsd:gYear,Qald9-test
founded_in,verb,founded,founded,founded,founded,in,IntransitivePPFrame,domain,range,1,dbp:founders,dbo:Company,dbo:Person,Qald9-test
going_to_be_in,verb,going_to_be_in,-,-,-,in,IntransitivePPFrame,range,domain,1,dbo:releaseDate,dbo:Film,xsd:date,Qald9-test
