LemonEntry,partOfSpeech,writtenFormInfinitive,writtenFormThridPerson,writtenFormPast,writtenFormPast,preposition,SyntacticFrame,subject,prepositionalAdjunct,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural
ausstellen,TrennVerb,ausstellen,stellt aus,stellte aus,ausgestellt,in,IntransitivePPFrame,domain,range,1,dbo:museum,dbo:Artwork,dbo:Museum,neuter,Kunstwerk,Kunstwerke,neuter,Museum,Museen
befinden,RefVerb,befinden,befindet,befand,befunden,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Lake,dbo:Country,masculine,See,Seen,feminine,Land,L„nder
schreiben_in,verb,schreiben,schreibt,schrieb,geschrieben,in,IntransitivePPFrame,domain,range,1,dbo:programmingLanguage,dbo:Software,dbo:Language,feminine,Software,Software,feminine,Programmiersprache,Programmiersprachen
wohnen_in,verb,wohnen,wohnt,wohnte,gewohnt,in,IntransitivePPFrame,domain,range,1,dbo:residence,dbo:Person,dbo:City,masculine,Person,Personen,feminine,Stadt,Stadte
enden,verb,enden,endet,endete,geendet,am,IntransitivePPFrame,domain,range,1,dbo:dissolutionDate,dbo:Country,xsd:date,feminine,Land,L„nder,neuter,Jahr,Jahre
Liegen_1,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:City,dbo:Country,feminine,Stadt,St„dte,neuter,Land,L„nder
Liegen_2,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:MilitaryUnit,dbo:Location,feminine,Milit„reinheit,Milit„reinheit,feminine,Lage,Lage
Liegen_3,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,domain,range,1,dbp:location,dbo:HistoricPlace,dbo:Location,neuter,historischer Ort,historischer Orten,feminine,Stadt,St„dte
Liegen_4,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,domain,range,1,dbo:country,dbo:Lake,dbo:Country,masculine,See,Seen,neuter,Land,L„nder
Liegen_5,verb,liegen,liegt,lag,gelegen,in,IntransitivePPFrame,domain,range,1,dbo:locatedInArea,dbo:Mountain,dbo:Country,masculine,Berg,Berg,feminine,Land,L„nder
Stehen_1,verb,stehen,steht,stand,gestanden,fuer,IntransitivePPFrame,domain,range,1,dbo:abbreviation,owl:Thing,xsd:string,-,-,-,-,-,-
Stehen_2,verb,stehen,steht,standen,gestanden,fuer,IntransitivePPFrame,domain,range,1,dbo:connotation,dbo:Colour,owl:Thing,masculine,Farbe,Farben,masculine,Reichtum,Reichtmer
leben_in_3,verb,Menschen leben,lebt,lebte,gelebt,in,IntransitivePPFrame,domain,range,1,dbo:populationTotal,dbo:Country,xsd:double,feminine,Land,L„nder,-,-,-
leben_in_4,verb,Menschen leben,lebt,lebte,gelebt,in,IntransitivePPFrame,domain,range,1,dbo:populationTotal,dbo:City,xsd:double,feminine,Stadt,St„dte,-,-,-
wachsen_in_1,verb,wachsen,w„chst,wuchs,gewachsen,in,IntransitivePPFrame,domain,range,1,dbo:growingGrape,dbo:WineRegion,dbo:Grape,feminine,weinregion,weinregionen,feminine,Traubenarte,Traubenarten
wachsen_in_2,verb,wachsen,w„chst,wuchs,gewachsen,in,IntransitivePPFrame,range,domain,1,dbo:wineRegion,dbo:Grape,dbo:WineRegion,feminine,Traubenarte,Traubenarten,feminine,weinregion,weinregionen
