lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
screenwriter_of,noun,Screen Writer,Screen Writers,of,NounPPFrame,range,domain,1,rdf:type,dbo:ScreenWriter,dbo:ScreenWriter
sea_of,noun,Sea,Seas,of,NounPPFrame,range,domain,1,rdf:type,dbo:Sea,dbo:Sea
senator_of,noun,Senator,Senators,of,NounPPFrame,range,domain,1,rdf:type,dbo:Senator,dbo:Senator
settlement_of,noun,settlement,settlements,of,NounPPFrame,range,domain,1,rdf:type,dbo:Settlement,dbo:Settlement
work_of,noun,work,works,of,NounPPFrame,range,domain,1,rdf:type,dbo:Ship,dbo:Ship
shoppingmall_of,noun,Shopping Mall,Shopping Malls,of,NounPPFrame,range,domain,1,rdf:type,dbo:ShoppingMall,dbo:ShoppingMall
person_of,noun,person,persons,of,NounPPFrame,range,domain,1,rdf:type,dbo:Single,dbo:Single
siteofspecialscientificinterest_of,noun,Site of Special Scientific Interest,Site of Special Scientific Interests,of,NounPPFrame,range,domain,1,rdf:type,dbo:SiteOfSpecialScientificInterest,dbo:SiteOfSpecialScientificInterest
skater_of,noun,Skater,Skaters,of,NounPPFrame,range,domain,1,rdf:type,dbo:Skater,dbo:Skater
skiarea_of,noun,Ski Area,Ski Areas,of,NounPPFrame,range,domain,1,rdf:type,dbo:SkiArea,dbo:SkiArea
skier_of,noun,Skier,Skiers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Skier,dbo:Skier
snookerplayer_of,noun,Snooker Player,Snooker Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:SnookerPlayer,dbo:SnookerPlayer
soapcharacter_of,noun,Soap Character,Soap Characters,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoapCharacter,dbo:SoapCharacter
soccerclub_of,noun,Soccer Club,Soccer Clubs,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoccerClub,dbo:SoccerClub
soccerclubseason_of,noun,Soccer Club Season,Soccer Club Seasons,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoccerClubSeason,dbo:SoccerClubSeason
soccerleague_of,noun,Soccer League,Soccer Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoccerLeague,dbo:SoccerLeague
soccermanager_of,noun,Soccer Manager,Soccer Managers,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoccerManager,dbo:SoccerManager
soccerplayer_of,noun,Soccer Player,Soccer Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoccerPlayer,dbo:SoccerPlayer
soccertournament_of,noun,SoccerTournament,SoccerTournaments,of,NounPPFrame,range,domain,1,rdf:type,dbo:SoccerTournament,dbo:SoccerTournament
software_of,noun,software,softwares,of,NounPPFrame,range,domain,1,rdf:type,dbo:Software,dbo:Software
solareclipse_of,noun,Solar Eclipse,Solar Eclipses,of,NounPPFrame,range,domain,1,rdf:type,dbo:SolarEclipse,dbo:SolarEclipse
song_of,noun,song,songs,of,NounPPFrame,range,domain,1,rdf:type,dbo:Song,dbo:Song
space mission_of,noun,space mission,Space missions,of,NounPPFrame,range,domain,1,rdf:type,dbo:SpaceMission,dbo:SpaceMission
spaceflight_of,noun,spaceflight,spaceflights,of,NounPPFrame,range,domain,1,rdf:type,dbo:SpaceStation,dbo:SpaceStation
species_of,noun,Species,Speciess,of,NounPPFrame,range,domain,1,rdf:type,dbo:Species,dbo:Species
speedwayrider_of,noun,Speedway Rider,Speedway Riders,of,NounPPFrame,range,domain,1,rdf:type,dbo:SpeedwayRider,dbo:SpeedwayRider
speedwayteam_of,noun,Speedway Team,Speedway Teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:SpeedwayTeam,dbo:SpeedwayTeam
sport_of,noun,Sport,Sports,of,NounPPFrame,range,domain,1,rdf:type,dbo:Sport,dbo:Sport
sportsclub_of,noun,Sports Club,Sports Clubs,of,NounPPFrame,range,domain,1,rdf:type,dbo:SportsClub,dbo:SportsClub
sportsevent_of,noun,Sports Event,Sports Events,of,NounPPFrame,range,domain,1,rdf:type,dbo:SportsEvent,dbo:SportsEvent
sportsleague_of,noun,Sports League,Sports Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:SportsLeague,dbo:SportsLeague
sports team_of,noun,sports team,sports teams,of,NounPPFrame,range,domain,1,rdf:type,dbo:SportsTeam,dbo:SportsTeam
sportsteammember_of,noun,Sports Team Member,Sports Team Members,of,NounPPFrame,range,domain,1,rdf:type,dbo:SportsTeamMember,dbo:SportsTeamMember
squashplayer_of,noun,SquashPlayer,SquashPlayers,of,NounPPFrame,range,domain,1,rdf:type,dbo:SquashPlayer,dbo:SquashPlayer
stadium_of,noun,stadium,stadiums,of,NounPPFrame,range,domain,1,rdf:type,dbo:Stadium,dbo:Stadium
star_of,noun,Star,Stars,of,NounPPFrame,range,domain,1,rdf:type,dbo:Star,dbo:Star
state_of,noun,state,states,of,NounPPFrame,range,domain,1,rdf:type,dbo:State,dbo:State
station_of,noun,Station,Stations,of,NounPPFrame,range,domain,1,rdf:type,dbo:Station,dbo:Station
stream_of,noun,stream,streams,of,NounPPFrame,range,domain,1,rdf:type,dbo:Stream,dbo:Stream
sumowrestler_of,noun,Sumo Wrestler,Sumo Wrestlers,of,NounPPFrame,range,domain,1,rdf:type,dbo:SumoWrestler,dbo:SumoWrestler
supremecourtoftheunitedstatescase_of,noun,Supreme Court of the United States Case,Supreme Court of the United States Cases,of,NounPPFrame,range,domain,1,rdf:type,dbo:SupremeCourtOfTheUnitedStatesCase,dbo:SupremeCourtOfTheUnitedStatesCase
surname_of,noun,Surname,Surnames,of,NounPPFrame,range,domain,1,rdf:type,dbo:Surname,dbo:Surname
swimmer_of,noun,swimmer,swimmers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Swimmer,dbo:Swimmer
tabletennisplayer_of,noun,Table Tennis Player,Table Tennis Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:TableTennisPlayer,dbo:TableTennisPlayer
televisionepisode_of,noun,Television Episode,Television Episodes,of,NounPPFrame,range,domain,1,rdf:type,dbo:TelevisionEpisode,dbo:TelevisionEpisode
televisionseason_of,noun,Television Season,Television Seasons,of,NounPPFrame,range,domain,1,rdf:type,dbo:TelevisionSeason,dbo:TelevisionSeason
television show_of,noun,television show,television shows,of,NounPPFrame,range,domain,1,rdf:type,dbo:TelevisionShow,dbo:TelevisionShow
televisionstation_of,noun,Television Station,Television Stations,of,NounPPFrame,range,domain,1,rdf:type,dbo:TelevisionStation,dbo:TelevisionStation
tennisplayer_of,noun,Tennis Player,Tennis Players,of,NounPPFrame,range,domain,1,rdf:type,dbo:TennisPlayer,dbo:TennisPlayer
tennistournament_of,noun,TennisTournament,TennisTournaments,of,NounPPFrame,range,domain,1,rdf:type,dbo:TennisTournament,dbo:TennisTournament
theatre_of,noun,Theatre,Theatres,of,NounPPFrame,range,domain,1,rdf:type,dbo:Theatre,dbo:Theatre
topleveldomain_of,noun,Top Level Domain,Top Level Domains,of,NounPPFrame,range,domain,1,rdf:type,dbo:TopLevelDomain,dbo:TopLevelDomain
tower_of,noun,tower,towers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Tower,dbo:Tower
city_of,noun,city,cities,of,NounPPFrame,range,domain,1,rdf:type,dbo:Town,dbo:Town
tradeunion_of,noun,Trade Union,Trade Unions,of,NounPPFrame,range,domain,1,rdf:type,dbo:TradeUnion,dbo:TradeUnion
train_of,noun,Train,Trains,of,NounPPFrame,range,domain,1,rdf:type,dbo:Train,dbo:Train
tunnel_of,noun,Tunnel,Tunnels,of,NounPPFrame,range,domain,1,rdf:type,dbo:Tunnel,dbo:Tunnel
university_of,noun,University,Universitys,of,NounPPFrame,range,domain,1,rdf:type,dbo:University,dbo:University
vein_of,noun,Vein,Veins,of,NounPPFrame,range,domain,1,rdf:type,dbo:Vein,dbo:Vein
venue_of,noun,Venue,Venues,of,NounPPFrame,range,domain,1,rdf:type,dbo:Venue,dbo:Venue
video game_of,noun,video game,video games,of,NounPPFrame,range,domain,1,rdf:type,dbo:VideoGame,dbo:VideoGame
village_of,noun,Village,Villages,of,NounPPFrame,range,domain,1,rdf:type,dbo:Village,dbo:Village
voiceactor_of,noun,VoiceActor,VoiceActors,of,NounPPFrame,range,domain,1,rdf:type,dbo:VoiceActor,dbo:VoiceActor
volcano_of,noun,Volcano,Volcanos,of,NounPPFrame,range,domain,1,rdf:type,dbo:Volcano,dbo:Volcano
volleyballcoach_of,noun,Volleyball Coach,Volleyball Coachs,of,NounPPFrame,range,domain,1,rdf:type,dbo:VolleyballCoach,dbo:VolleyballCoach
volleyballleague_of,noun,Volleyball League,Volleyball Leagues,of,NounPPFrame,range,domain,1,rdf:type,dbo:VolleyballLeague,dbo:VolleyballLeague
player_of,noun,player,players,of,NounPPFrame,range,domain,1,rdf:type,dbo:VolleyballPlayer,dbo:VolleyballPlayer
weapon_of,noun,Weapon,Weapons,of,NounPPFrame,range,domain,1,rdf:type,dbo:Weapon,dbo:Weapon
website_of,noun,Website,Websites,of,NounPPFrame,range,domain,1,rdf:type,dbo:Website,dbo:Website
wine region_of,noun,wine region,wine regions,of,NounPPFrame,range,domain,1,rdf:type,dbo:WineRegion,dbo:WineRegion
winery_of,noun,Winery,Winerys,of,NounPPFrame,range,domain,1,rdf:type,dbo:Winery,dbo:Winery
womenstennisassociationtournament_of,noun,Womens Tennis Association Tournament,Womens Tennis Association Tournaments,of,NounPPFrame,range,domain,1,rdf:type,dbo:WomensTennisAssociationTournament,dbo:WomensTennisAssociationTournament
work_of,noun,work,works,of,NounPPFrame,range,domain,1,rdf:type,dbo:Work,dbo:Work
worldheritagesite_of,noun,World Heritage Site,World Heritage Sites,of,NounPPFrame,range,domain,1,rdf:type,dbo:WorldHeritageSite,dbo:WorldHeritageSite
wrestler_of,noun,Wrestler,Wrestlers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Wrestler,dbo:Wrestler
wrestlingevent_of,noun,Wrestling Event,Wrestling Events,of,NounPPFrame,range,domain,1,rdf:type,dbo:WrestlingEvent,dbo:WrestlingEvent
writer_of,noun,writer,writers,of,NounPPFrame,range,domain,1,rdf:type,dbo:Writer,dbo:Writer
written work_of,noun,written work,written work,of,NounPPFrame,range,domain,1,rdf:type,dbo:WrittenWork,dbo:WrittenWork
year_of,noun,Year,Years,of,NounPPFrame,range,domain,1,rdf:type,dbo:Year,dbo:Year
world_of,noun,world,world,of,NounPPFrame,range,domain,1,rdf:type,owl:Thing,owl:Thing
surfer_of,noun,surfer,surfers,of,NounPPFrame,range,domain,1,rdf:type,res:Surfing,res:Surfing
