LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Namensgeberin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Gipfel,noun,masculine,Gipfel,Gipfel,Gipfel,Gipfel,Gipfels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Grand,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Barrier,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Einheit,noun,feminine,Einheit,Einheiten,Einheit,Einheit,Einheit,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Einsatz,noun,masculine,Einsatz,Einsätze,Einsatz,Einsatze,Einsatzes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Inselrepublik,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ebbe,noun,feminine,Ebbe,Ebben,Ebbe,Ebbe,Ebbe,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Robbenfänger,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Marine,noun,feminine,Marine,Marinen,Marine,Marine,Marine,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Eilande,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Königin-Marie-Lands,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Archangelsk,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Montebello-Inseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Niedrigwasser,noun,neuter,Niedrigwasser,Niedrigwasser,Niedrigwasser,Niedrigwasser,Niedrigwassers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Punta,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Richtung,noun,feminine,Richtung,Richtungen,Richtung,Richtung,Richtung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Kanal,noun,masculine,Kanal,Kanäle,Kanal,Kanale,Kanals,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Untergruppe,noun,feminine,Untergruppe,Untergruppen,Untergruppe,Untergruppe,Untergruppe,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Schiffs,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
See,noun,feminine,See,Seen,See,See,See,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Südliche,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
ANCA,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nordland,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Gespanschaft,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Maluku,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
City,noun,feminine,City,Citys,City,City,City,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Sulawesi,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Arktischen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Duroch-Inseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Mikronesien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Karasee,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
California,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
English,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Gespanschaft,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Coromandel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Booth-Insel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Brücke,noun,feminine,Brücke,Brücken,Brücke,Brücke,Brücke,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Santo,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Inselstaat,noun,masculine,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
östlich,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Romsdal,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
MÃ¸re,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Schottland,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Kloster,noun,neuter,Kloster,Klöster,Kloster,Kloster,Klosters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Bezirk,noun,masculine,Bezirk,Bezirke,Bezirk,Bezirke,Bezirkes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Qikiqtaaluk-Region,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Gemeindebezirk,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Wales,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Hälfte,noun,feminine,Hälfte,Hälften,Hälfte,Hälfte,Hälfte,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Turks-,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Okinawa,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Küstenlänge,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Adak,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ilhas,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Crystal,noun,neuter,Crystal,,Crystal,Crystal,Crystals,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Flat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Elephant,noun,masculine,Elephant,Elephanten,Elephanten,Elephanten,Elephanten,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Islet,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
South,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Punkt,noun,masculine,Punkt,Punkte,Punkt,Punkte,Punkts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Isles,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Troms,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Finnmark,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Bute,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Felsenriff,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Wilkes-Station,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
bulgarisch,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Antigua,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Park,noun,masculine,Park,Pärke,Park,Parke,Parkes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Sizilien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Antillen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Mount,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Bass-Straße,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Wilhelm-Archipels,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Larsemann,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Inuktitut,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Semlja,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
KÃµiguste,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Adelaide-,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Flächenausdehnung,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ostrowa,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nikobaren,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Atollen,noun,neuter,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Trinity,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Prince,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Schreibweise,noun,feminine,Schreibweise,Schreibweisen,Schreibweise,Schreibweise,Schreibweise,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Vulkan,noun,masculine,Vulkan,Vulkane,Vulkan,Vulkan,Vulkans,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Kirche,noun,feminine,Kirche,Kirchen,Kirche,Kirche,Kirche,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Gipfel,noun,masculine,Gipfel,Gipfel,Gipfel,Gipfel,Gipfels,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Golf,noun,masculine,Golf,Golfe,Golf,Golf,Golfs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Eilean,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Familie,noun,feminine,Familie,Familien,Familie,Familie,Familie,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ostküste,noun,feminine,Ostküste,Ostküsten,Ostküste,Ostküste,Ostküste,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
MÄori,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nördlichen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Argyll,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nordküste,noun,feminine,Nordküste,Nordküsten,Nordküste,Nordküste,Nordküste,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Naturschutz,noun,masculine,Naturschutz,,Naturschutz,Naturschutze,Naturschutzes,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
âInsel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nordost-Grönland-Nationalpark,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Barangays,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Fischfang,noun,masculine,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nordpolarmeer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Mainland,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Sowjetische,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Sachalin,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Umstand,noun,masculine,Umstand,Umstände,Umstand,Umstande,Umstands,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Forschungsfahrt,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Angabe,noun,feminine,Angabe,Angaben,Angabe,Angabe,Angabe,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Brutgebiet,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
RyÅ«kyÅ«-Inseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Census,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Caicosinseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Davis-Station,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Andamanen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Felsinseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Kurilen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Färöer,noun,masculine,Färöer,Färöer,Färöer,Färöer,Färöers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Schlittenhunde,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Peak,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Shefa,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Scilly-Inseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Green,noun,neuter,Green,Greens,Green,Green,Greens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Black,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Baie,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Council,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Area,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Nikobaren,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Vulkaninsel,noun,feminine,Vulkaninsel,Vulkaninseln,Vulkaninsel,Vulkaninsel,Vulkaninsel,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Tourist,noun,masculine,Tourist,Touristen,Touristen,Touristen,Touristen,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Kalifornien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Snow,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Smith,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ostsee-Insel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Mittelmeer,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Nordwesten,noun,masculine,Nordwesten,,Nordwesten,Nordwesten,Nordwestens,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Erde,noun,feminine,Erde,Erden,Erde,Erde,Erde,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Gambia,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Nordatlantik,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Fährverbindung,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Northern,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ort,noun,neuter,Ort,Ort,Ort,Ort,Orts,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Inis,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Bunger-Oase,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
MahÃ©,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Föderierten,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Campbell,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Scott-Küste,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Barangay,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
kapverdisch,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Salomonensee,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Tyrrhenischen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Ãygarden,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Vestfoldberge,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Rat,noun,masculine,Rat,Räte,Rat,Rate,Rats,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Vogelschutzgebiet,noun,neuter,Vogelschutzgebiet,Vogelschutzgebiete,Vogelschutzgebiet,Vogelschutzgebiete,Vogelschutzgebiets,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Entdecker,noun,masculine,Entdecker,Entdecker,Entdecker,Entdecker,Entdeckers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Coronation,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Sundainseln,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Molukken,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Sardinien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Westküste,noun,feminine,Westküste,Westküsten,Westküste,Westküste,Westküste,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/largestCity,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Fähre,noun,feminine,Fähre,Fähren,Fähre,Fähre,Fähre,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Karibikinsel,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
