LemonEntry,partOfSpeech,gender,writtenFormNominative(singular),writtenFormNominative (plural),writtenFormSingular (accusative),writtenFormSingular (dative),writtenFormSingular (genetive),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
Südtirol,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Einwohner,noun,masculine,Einwohner,Einwohner,Einwohner,Einwohner,Einwohners,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Wahlkreis,noun,masculine,Wahlkreis,Wahlkreise,Wahlkreis,Wahlkreise,Wahlkreises,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Staat,noun,masculine,Staat,Staaten,Staat,Staate,Staats,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Dezember,noun,masculine,Dezember,Dezember,Dezember,Dezember,Dezember,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Arrondissement,noun,neuter,Arrondissement,Arrondissements,Arrondissement,Arrondissement,Arrondissements,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
DÃ©partements,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
stehen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Kanton,noun,masculine,Kanton,Kantone,Kanton,Kanton,Kantons,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Vertreter,noun,masculine,Vertreter,Vertreter,Vertreter,Vertreter,Vertreters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Hauptort,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
DÃ©partements,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
DÃ©partement,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Generalrat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Gemeinde,noun,feminine,Gemeinde,Gemeinden,Gemeinde,Gemeinde,Gemeinde,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Vertreter,noun,masculine,Vertreter,Vertreter,Vertreter,Vertreter,Vertreters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Region,noun,feminine,Region,Regionen,Region,Region,Region,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Generalrat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Einwohner,noun,masculine,Einwohner,Einwohner,Einwohner,Einwohner,Einwohners,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Bevölkerungsdichte,noun,feminine,Bevölkerungsdichte,Bevölkerungsdichten,Bevölkerungsdichte,Bevölkerungsdichte,Bevölkerungsdichte,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Quadratkilometer,noun,masculine,Quadratkilometer,Quadratkilometer,Quadratkilometer,Quadratkilometer,Quadratkilometers,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Wahlkreis,noun,masculine,Wahlkreis,Wahlkreise,Wahlkreis,Wahlkreise,Wahlkreises,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Jahr,noun,neuter,Jahr,Jahr,Jahr,Jahre,Jahrs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Bozen,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Departamento,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Zusammensetzung,noun,feminine,Zusammensetzung,Zusammensetzungen,Zusammensetzung,Zusammensetzung,Zusammensetzung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Änderung,noun,feminine,Änderung,Änderungen,Änderung,Änderung,Änderung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Auflösung,noun,feminine,Auflösung,Auflösungen,Auflösung,Auflösung,Auflösung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
März,noun,masculine,März,Märzen,Märzen,Märzen,Märzen,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
US-Bundesstaat,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
März,noun,masculine,März,Märzen,Märzen,Märzen,Märzen,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Zusammensetzung,noun,feminine,Zusammensetzung,Zusammensetzungen,Zusammensetzung,Zusammensetzung,Zusammensetzung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Änderung,noun,feminine,Änderung,Änderungen,Änderung,Änderung,Änderung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Einwohner,noun,masculine,Einwohner,Einwohner,Einwohner,Einwohner,Einwohners,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Auflösung,noun,feminine,Auflösung,Auflösungen,Auflösung,Auflösung,Auflösung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/capital,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/City
Countys,noun,neuter,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Verkauf,noun,masculine,Verkauf,Verkäufe,Verkauf,Verkaufe,Verkaufs,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Alkohol,noun,masculine,Alkohol,Alkohole,Alkohol,Alkohol,Alkohols,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Südtiroler,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Texas,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Bevölkerungsdichte,noun,feminine,Bevölkerungsdichte,Bevölkerungsdichten,Bevölkerungsdichte,Bevölkerungsdichte,Bevölkerungsdichte,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Hauptstadt,noun,feminine,Hauptstadt,Hauptstädte,Hauptstadt,Hauptstadt,Hauptstadt,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Volkszählung,noun,feminine,Volkszählung,Volkszählungen,Volkszählung,Volkszählung,Volkszählung,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Landkreis,noun,masculine,Landkreis,Landkreise,Landkreis,Landkreise,Landkreises,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Municipio,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Provinz,noun,feminine,Provinz,Provinzen,Provinz,Provinz,Provinz,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Meran,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Bolivien,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Departamento,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Place,xsd:string
Weinstraße,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Metropolitanstadt,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
CittÃ ,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Metropolitana,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/leaderName,http://dbpedia.org/ontology/City,http://dbpedia.org/ontology/Person
Verwaltungseinheiten,noun,,,,,,,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
Meter,noun,neuter,Meter,Meter,Meter,Meter,Meters,von,NounPPFrame,range,domain,1,http://dbpedia.org/ontology/populationTotal,http://dbpedia.org/ontology/Location,xsd:double
