lemon,partOfSpeech,writtenForm (singular),writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range,QALD
federal-minister_of,noun,federal minister,federal ministers,of,NounPPFrame,range,domain,1,dbo:leader,dbo:Organisation,dbo:Person,Qald9-training
founding-date_of,noun,founding date,founding dates,of,NounPPFrame,range,domain,1,dbo:foundingDate,dbo:Organisation,xsd:date,Qald9-training
king-of,noun,king,kings,of,NounPPFrame,range,domain,1,dbp:title,dbo:Work,dbo:Person,Qald9-training
name-of,noun,name,names,of,NounPPFrame,range,domain,1,dbp:name,dbo:Person,xsd:string,Qald9-training
total-population-of,noun,name,names,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:nonNegativeInteger,Qald9-training
birth-name-of,noun,birth name,birth names,of,NounPPFrame,range,domain,1,dbo:birthName,dbo:Person,xsd:string,Qald9-training
death_of,noun,death,-,of,NounPPFrame,range,domain,1,dbo:deathDate,dbo:Person,xsd:date,Qald9-training
origin-of,noun,origin,-,of,NounPPFrame,range,domain,,dbo:origin,dbo:Device,dbo:Country,Qald9-training
runtime-of,noun,runtime,-,of,NounPPFrame,range,domain,1,dbp:borders,dbo:Software,dbo:PopulatedPlace,Qald9-training
creator_of,noun,creator,creators,of,NounPPFrame,range,domain,1,dbo:creator,dbo:Company,dbo:Organisation,Qald9-training
main_business_of,noun,main_business_of,main businesses,of,NounPPFrame,range,domain,1,dbo:owner,dbo:Company,dbo:Band,Qald9-training
inhabitant_of,noun,inhabitant,inhabitants,of,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:nonNegativeInteger,Qald9-training
population-densty-rank-of,noun,population densty rank,-,of,NounPPFrame,range,domain,1,dbp:populationDensityRank,dbo:Place,dbo:PopulatedPlace,Qald9-training
time-zone_in,noun,time zone,-,in,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Place,dbo:Country,Qald9-training
writer_of,noun,writer,writers,of,NounPPFrame,range,domain,1,dbp:writer,dbo:MusicalWork,dbo:Actor,Qald9-training
form-of-government_of,noun,form of government,form of government,of,NounPPFrame,range,domain,1,dbo:governmentType,dbo:Place,dbo:Organisation,Qald9-training
country-from,noun,country,countries,from,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Agent,dbo:City,Qald9-training
holiday-of,noun,holiday,holidays,of,NounPPFrame,range,domain,1,rdf:type,dbo:Country,dbo:Holiday,Qald9-training
state_in,noun,state,states,in,NounPPFrame,range,domain,1,dbo:type,dbo:Work,dbo:Type,Qald9-training
series_of,noun,series,serieses,of,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:Work,Qald9-training
root-of,noun,root,roots,of,NounPPFrame,range,domain,1,dbo:languageFamily,dbo:Language,dbo:Language,Qald9-training
book_in,noun,book,books,in,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:Work,Qald9-training
timeZone-of,noun,timezone,timezones,in,NounPPFrame,range,domain,1,dbo:timeZone,dbo:City,xsd:string,Qald9-training
first-person-to-climb_of,noun,first person to climb,-,of,NounPPFrame,range,domain,1,dbo:firstAscentPerson,dbo:Place,dbo:Agent,Qald9-training
headquarter_of,noun,headquarter,headquarters,of,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place,Qald9-training
first-name_of,noun,headquarter,headquarters,of,NounPPFrame,range,domain,1,dbo:alias,dbo:Person,xsd:String,Qald9-training
movie_with,noun,movie,movies,of,NounPPFrame,range,domain,1,dbo:alias,dbo:Person,xsd:String,Qald9-training
museums-in,noun,museum,museums,in,NounPPFrame,range,domain,1,dbp:museum,dbo:Artwork,dbo:Museum,Qald9-training
game_by,noun,game,games,by,NounPPFrame,domain,range,1,dbo:publisher,dbo:VideoGame,dbo:Publisher,Qald9-training
height_of,noun,height,-,of,NounPPFrame,range,domain,1,dbo:height,dbo:Model/dbo:Tower/dbo:BasketballPlayer,xsd:double,Qald9-training
TimeZone-of_3,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbp:timeZone,dbo:City,xsd:string,Qald9-training
main_business_of,noun,main business,main businesses,of,NounPPFrame,domain,range,1,dbo:owner,dbo:Company,dbo:Person,Qald9-training
first-name_of,noun,first name,first names,of,NounPPFrame,range,domain,1,dbo:alias,dbo:Person,xsd:String,Qald9-training
alma-mater-of,noun,alma mater,alma maters,of,NounPPFrame,range,domain,1,dbo:almaMater,dbo:Person,dbo:EducationalInstitution,Qald9-training
type_of,noun,type,types,of,NounPPFrame,range,domain,1,dbo:class,dbo:Insect,owl:Thing,Qald9-training
Density_1,noun,density,densities,of,NounPPFrame,range,domain,1,dbp:densityrank,dbo:Place,xsd:nonNegativeInteger,Qald9-training
number_of_entrance_1,noun,number of entrance,number of entrances,of,NounPPFrame,range,domain,1,dbp:entranceCount,dbo:Cave,xsd:nonNegativeInteger,Qald9-training
entrance_of_1,noun,entrance,entrances,of,NounPPFrame,range,domain,1,dbp:entranceCount,dbo:Cave,xsd:nonNegativeInteger,Qald9-training
mineral_of_1,noun,mineral,minerals,of,NounPPFrame,range,domain,1,dbp:mineral,dbo:Place,dbo:Currency,Qald9-training
carb_of,noun,carb,carbs,of,NounPPFrame,range,domain,1,dbp:carbs,dbo:Food,xsd:string,Qald9-training
province_of_1,noun,province,provinces,of,NounPPFrame,range,domain,1,dbo:province,dbo:Place,dbo:Province,Qald9-training
race_of,noun,race,races,of,NounPPFrame,range,domain,1,dbo:races,dbo:Person,xsd:nonNegativeInteger,Qald9-training
region_of,noun,region,regions,of,NounPPFrame,range,domain,1,dbo:wineRegion,dbo:Grape,dbo:Place,Qald9-training
store_of,noun,store,stores,of,NounPPFrame,range,domain,1,dbo:numberOfLocations,dbo:Company,xsd:nonNegativeInteger,Qald9-training
area_of,noun,area,areas,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,Qald9-training
total_area_of,noun,total area,total area,of,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double,Qald9-training
birthplace_of,noun,birthplace,birthplaces,of,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,Qald9-training
span_of,noun,span,spans,of,NounPPFrame,range,domain,1,dbo:mainspan,dbo:Bridge,xsd:double,Qald9-training
visitor_of,noun,visitor,visitors,of,NounPPFrame,range,domain,1,dbo:numberOfVisitors,dbo:Museum,xsd:nonNegativeInteger,Qald9-training
total-amount-of-men-and-women,noun,total amount of men and women,total amount of men and women,of,NounPPFrame,range,domain,1,dbp:employees,dbo:Settlement,xsd:nonNegativeInteger,Qald9-training
province_of_2,noun,province,provinces,of,NounPPFrame,range,domain,1,dbo:state,dbo:Country,dbo:Place,Qald9-training
result_of_1,noun,result,results,of,NounPPFrame,range,domain,1,dbo:result,dbo:Event,xsd:string,Qald9-training
theme_of,noun,theme,themes,of,NounPPFrame,range,domain,1,dbo:openingTheme,dbo:TelevisionShow,dbo:Work,Qald9-training
FIFA_World_ Ranking_of,noun,FIFA World Ranking,FIFA World Rankings,of,NounPPFrame,range,domain,1,dbp:fifaMin,dbo:SportsClub,dbo:Country,Qald9-training
Player_1,noun,player,players,of,NounPPFrame,range,domain,1,dbo:instrument,dbo:Person,dbo:MusicalArtist,Qald9-training
active_career_of,noun,active career,active careers,of,NounPPFrame,range,domain,1,dbo:activeYearsEndDate,dbo:Person,xsd:date,Qald9-training
war_of,noun,war,wars,of,NounPPFrame,range,domain,1,dbo:battle,dbo:Person,dbo:MilitaryConflict,Qald9-training
lowest_rank_of,noun,lowest rank,lowest rank,of,NounPPFrame,range,domain,1,dbo:fifaMin,dbo:Agent,xsd:nonNegativeInteger,Qald9-training
page_of,noun,page,pages,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,Qald9-training
Volcano_in,noun,Volcano,Volcanos,of,NounPPFrame,range,domain,1,dbo:numberOfPages,dbo:WrittenWork,xsd:positiveInteger,Qald9-training
time_zone_of,noun,time zone,time zones,of,NounPPFrame,range,domain,1,dbo:timeZone,dbo:Place,dbo:Country,Qald9-test
governor_of,noun,governor,governors,of,NounPPFrame,range,domain,1,dbp:governor,dbo:Place,dbo:Person,Qald9-test
profession_of,noun,profession,professions,of,NounPPFrame,range,domain,1,dbo:occupation,dbo:Person,xsd:string,Qald9-test
