LemonEntry,partOfSpeech,writtenForm,comparative,superlative_singular,superlative_plural,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition
nördlich,adjective,nördlich,nördlicheren,nördlichstes,nördlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
historisch,adjective,historisch,historischeren,historischstes,historischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/locatedInArea,oils:high,dbo:Person,dbo:Person,in
gemäß,adjective,gemäß,gemäßeren,gemäßestes,gemäßesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/locatedInArea,oils:high,dbo:Person,dbo:Person,in
historisch,adjective,historisch,historischeren,historischstes,historischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
wichtig,adjective,wichtig,wichtigeren,wichtigstes,wichtigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
dänisch,adjective,dänisch,dänischeren,dänischstes,dänischsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/city,oils:high,dbo:Person,dbo:Person,in
erhöht,adjective,erhöht,erhöhteren,erhöhtestes,erhöhtesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
südlich,adjective,südlich,südlicheren,südlichstes,südlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
stark,adjective,stark,stärkeren,stärkstes,stärksten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
wichtig,adjective,wichtig,wichtigeren,wichtigstes,wichtigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
frei,adjective,frei,freieren,freistes,freisten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
wirtschaftlich,adjective,wirtschaftlich,wirtschaftlicheren,wirtschaftlichstes,wirtschaftlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
östlich,adjective,östlich,östlicheren,östlichstes,östlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
westlich,adjective,westlich,westlicheren,westlichstes,westlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
hoch,adjective,hoch,höheren,höchstes,höchsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
heutig,adjective,heutig,heutigeren,heutigstes,heutigsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
klein,adjective,klein,kleineren,kleinstes,kleinsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
entfernt,adjective,entfernt,entfernteren,entferntestes,entferntesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
erhöht,adjective,erhöht,erhöhteren,erhöhtestes,erhöhtesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
nördlich,adjective,nördlich,nördlicheren,nördlichstes,nördlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
westlich,adjective,westlich,westlicheren,westlichstes,westlichsten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/deathPlace,oils:high,dbo:Person,dbo:Person,in
alt,adjective,alt,älteren,ältestes,ältesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/birthPlace,oils:high,dbo:Person,dbo:Person,in
deutsch,adjective,deutsch,deutscheren,deutschestes,deutschesten,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,http://dbpedia.org/ontology/locatedInArea,oils:high,dbo:Person,dbo:Person,in
