lemon	partOfSpeech	writtenForm (singular)	writtenForm (plural)	preposition	SyntacticFrame	copulativeArg	prepositionalAdjunct	sense	reference	domain	range
Founder-of_1	noun	founder	founders	of	NounPPFrame	range	domain	1	dbo:founder	dbo:Publisher	dbo:Agent
Founder-of_2	noun	founder	founders	of	NounPPFrame	range	domain	1	dbo:foundedBy	dbo:Organisation	dbo:Pope
autobiography-of	noun	autobiography	-	of	NounPPFrame	range	domain	1	dbo:literaryGenre	dbo:Autobiography	dbo:Author
parent-of	noun	parent	parents	of	NounPPFrame	range	domain	1	dbo:parent	dbo:Person	dbo:Person
artisticMovement_of	noun	artistic movement	artistic movements	of	NounPPFrame	range	domain	1	dbo:movement	dbo:Artist	owl:Thing
author_of	noun	author	authors	of	NounPPFrame	range	domain	1	dbo:author	dbo:Work	dbo:Person
foundation_series_of	noun	foundation series	foundation series	of	NounPPFrame	range	domain	1	dbo:series	dbo:Foundation_series	dbo:Person
city-of	noun	city	cities	of	NounPPFrame	range	domain	1	dbo:isPartOf	dbo:AdministrativeRegion	dbo:City
founder_of	noun	founder	founders	of	NounPPFrame	range	domain	1	dbo:foundedBy	dbo:BroadcastNetwork	dbo:Company
wine_production-of	noun	wine production	wine productions	of	NounPPFrame	range	domain	1	dbo:wineProduced	dbo:Company	dbo:Location
residence_of	noun	residence	residences	of	NounPPFrame	range	domain	1	dbo:residence	dbo:Person	dbo:City
resting_place_of	noun	resting place	resting places	of	NounPPFrame	range	domain	1	dbo:restingPlace	dbo:Person	dbo:Country
Composer-of	noun	music composer	music composers	of	NounPPFrame	range	domain	1	dbo:composer	dbo:TelevisionShow	dbo:Person
timeZone-of	noun	time zone	time zones	of	NounPPFrame	range	domain	1	dbo:timeZone	dbo:City/dbo:Town	xsd:string
Borough-of	noun	borough	borough	of	NounPPFrame	domain	range	1	dbo:governmentType	dbo:Town	owl:Thing
membership-of	noun	member	members	of	NounPPFrame	range	domain	1	dbo:bandMember	dbo:Band	dbo:MusicalArtist
Book-in	noun	book	books	in	NounPPFrame	domain	range	1	dbo:series	dbo:Book	dbo:TelevisionShow
book_by	noun	book	books	by	NounPPFrame	domain	range	1	dbo:author	dbo:Book	dbo:Writer
king-of	noun	king	kings	of	NounPPFrame	range	domain	1	dbo:leader	dbo:Legislature/dbo:Place	dbo:Person
successor_of	noun	successor	-	of	NounPPFrame	range	domain	1	dbo:successor	dbo:Politician	dbo:Person
game_by	noun	game	games	by	NounPPFrame	domain	range	1	dbo:publisher	dbo:VideoGame	dbo:Company/dbo:Publisher
city-in	noun	city	cities	in	NounPPFrame	range	domain	1	dbo:isPartOf	dbo:AdministrativeRegion	dbo:City
headquarter_of	noun	headquarter	-	of	NounPPFrame	range	domain	1	dbo:location	dbo:Building	dbo:City
party-of	noun	party	parties	of	NounPPFrame	range	domain	1	dbo:party	dbo:Politician	xsd:string
son_of	noun	son	sons	of	NounPPFrame	range	domain	1	dbo:child	dbo:Person	dbo:Person
daughter_of	noun	daughter	daughters	of	NounPPFrame	range	domain	1	dbo:child	dbo:Person	dbo:Person
coach_of	noun	coach	coaches	of	NounPPFrame	range	domain	1	dbo:coach	dbo:HockeyTeam	dbo:Person
team_of	noun	team	teams	of	NounPPFrame	domain	range	1	dbo:league	dbo:HockeyTeam	dbo:IceHockeyLeague
home_stadium_of	noun	home stadium	home stadiums	of	NounPPFrame	range	domain	1	dbo:ground	dbo:SportsClub	dbo:Stadium
