LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,QALD
Canadian_35,adjective,Canadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Canada,dbo:Film,dbo:Film,other
Canadian_36,adjective,Canadian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Canada,dbo:Film,dbo:Film,other
Chilean_37,adjective,Chilean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Chile,dbo:Film,dbo:Film,other
Chilean_38,adjective,Chilean,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Chile,dbo:Film,dbo:Film,other
Chinese_39,adjective,Chinese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:China,dbo:Film,dbo:Film,other
Chinese_40,adjective,Chinese,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:China,dbo:Film,dbo:Film,other
Colombian_41,adjective,Colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Colombia,dbo:Film,dbo:Film,other
Colombian_42,adjective,Colombian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Colombia,dbo:Film,dbo:Film,other
Costa-Rican_43,adjective,Costa Rican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Costa_Rica,dbo:Film,dbo:Film,other
Costa-Rican_44,adjective,Costa Rican,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Costa_Rica,dbo:Film,dbo:Film,other
Croatian_45,adjective,Croatian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Croatia,dbo:Film,dbo:Film,other
Croatian_46,adjective,Croatian,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Croatia,dbo:Film,dbo:Film,other
Cuban_47,adjective,Cuban,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:country,res:Cuba,dbo:Film,dbo:Film,other
