LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference,domain,range
capital,noun,feminine,capital,capitales,de,NounPPFrame,range,domain,1,dbo:capital,dbo:Country,dbo:Place
governor_of,noun,masculine,gobernador,gobernadores,de,NounPPFrame,range,domain,1,dbp:governor,dbo:Place,dbo:Person
architect_of,noun,masculine,architecto,architectos,de,NounPPFrame,range,domain,1,dbo:architect,dbo:ArchitecturalStructure,dbo:Person
museums-in,noun,masculine,museo,museos,de,NounPPFrame,range,domain,1,dbo:location,dbo:Organisation,dbo:Settlement
federal-chancellor-of,noun,masculine,canciller,cancilleres,de,NounPPFrame,range,domain,1,dbp:office,dbo:Agent,dbo:City
employee-of,noun,masculine,empleado,empleados,de,NounPPFrame,range,domain,1,dbo:numberOfEmployees,dbo:Company,xsd:nonNegativeInteger
president_of,noun,masculine,presidente,presidentes,de,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person
carb_of,noun,masculine,carbono,carbonos,de,NounPPFrame,range,domain,1,dbp:carbs,dbo:Food,xsd:string
mission-of,noun,feminine,misión,misiones,de,NounPPFrame,range,domain,1,dbo:programme,dbo:Event,dbo:TelevisionShow
TV-show-with,noun,masculine,programa de televisión,programas de televisión,de,NounPPFrame,range,domain,1,dbo:starring,dbo:Company,dbo:Actor
net-income-of,noun,masculine,ingreso neto,ingresos netos,de,NounPPFrame,range,domain,1,dbo:netIncome,dbo:Company,xsd:string
music_by,noun,feminine,música,musicales,de,NounPPFrame,domain,domain,1,dbo:musicBy,dbo:TelevisionShow,dbo:Person
industry-of,noun,masculine,industry,industries,de,NounPPFrame,range,domain,1,dbo:industry,dbo:Company,dbo:PersonFunction
total-amount-of-employee-of,noun,masculine,número de empleados,números de empleados,de,NounPPFrame,range,domain,1,dbo:employees,dbo:Event,dbo:Agent
part-of,noun,feminine,parte,partes,de,NounPPFrame,range,domain,1,dbo:alliance,dbo:Agent,dbo:PoliticalParty
member-of,noun,masculine,miembro,miembros,de,NounPPFrame,range,domain,1,dbo:alliance,dbo:Agent,dbo:Company
residence-of,noun,feminine,residencia,residencias,de,NounPPFrame,range,domain,1,dbp:residence,dbo:Agent,dbo:Country
organization-of,noun,feminine,organización,organización,de,NounPPFrame,range,domain,1,dbp:industry,dbo:Company,dbo:PersonFunction
manager-of,noun,masculine,gerente,gerente,de,NounPPFrame,range,domain,1,dbo:manager,dbo:Agent,dbo:SoccerManager
birth-name-of,noun,masculine,nombre de nacimiento,nombre de nacimiento,de,NounPPFrame,range,domain,1,dbp:birthName,dbo:Person,xsd:string
ruling-party-in,noun,masculine,partido gobernante,partido gobernante,de,NounPPFrame,range,domain,1,dbp:leaderParty,dbo:Place,dbo:Agent
episode-of,noun,masculine,episodio,episodiops,de,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:Work
instrument-of,noun,masculine,instrumento,instrumento,de,NounPPFrame,range,domain,1,dbo:instrument,dbo:Agent,dbo:MusicalArtist
movie-with,noun,feminine,película,películas,de,NounPPFrame,range,domain,1,dbo:starring,dbo:Company,dbo:Actor
B-sides_of,noun,masculine,B-side,B-sides,de,NounPPFrame,range,domain,1,dbo:bSide,dbo:MusicalWork,dbo:CreativeWork
Speciality-of_1,noun,feminine,especialidad,especialidades,de,NounPPFrame,range,domain,1,dbo:title,dbo:Person,xsd:string
Speciality-of_2,noun,feminine,especialidad,especialidades,de,NounPPFrame,range,domain,1,dbp:title,dbo:Agent,dbo:City
father_of,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbp:father,dbo:Royalty,dbo:Person
breweries-in,noun,feminine,brewery,breweries,de,NounPPFrame,range,domain,1,dbo:location,dbo:Place,dbo:Place
breed-of,noun,feminine,breed,breeds,de,NounPPFrame,range,domain,1,dbp:breed,dbo:Person,dbo:Mammal
alma-mater-of,noun,feminine,alma mater,alma maters,de,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Place,xsd:double
federal-minister_of,noun,masculine,ministro,ministros,de,NounPPFrame,range,domain,1,dbo:leader,dbo:Country,dbo:Person
coach_of,noun,masculine,entrenador,entrenadores,de,NounPPFrame,range,domain,1,dbo:coach,dbo:HockeyTeam,dbo:Person
population-of,noun,feminine,población,poblaciones,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:PopulatedPlace,xsd:nonNegativeInteger
wife-of,noun,feminine,esposa,esposas,de,NounPPFrame,range,domain,1,dbo:spouse,dbo:Person,dbo:Person
name-of,noun,masculine,nombre,nombres,de,NounPPFrame,range,domain,1,dbp:name,dbo:Person,xsd:string
total-population-of,noun,masculine,nombre,nombres,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:nonNegativeInteger
birth-name-of,noun,masculine,nombre de nacimiento,nombres de nacimiento,de,NounPPFrame,range,domain,1,dbo:birthName,dbo:Person,xsd:string
origin-of,noun,masculine,orígen,orígenes,de,NounPPFrame,range,domain,1,dbo:origin,dbo:Device,dbo:Country
creator_of,noun,masculine,creador,creadores,de,NounPPFrame,range,domain,1,dbo:creator,dbo:Company,dbo:Organisation
main_business_of,noun,masculine,dueño,dueños,de,NounPPFrame,range,domain,1,dbo:owner,dbo:Company,dbo:Band
inhabitant_of,noun,masculine,habitante,habitantes,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Country,xsd:nonNegativeInteger
largest_country_in,noun,masculine,país más grande,país más grande,de,NounPPFrame,range,domain,1,dbo:areaTotal,dbo:Country,dbo:Country
population-densty-rank-of,noun,feminine,población densidad rango,población densidad rango,de,NounPPFrame,range,domain,1,dbp:populationDensityRank,dbo:Place,dbo:PopulatedPlace
game_by,noun,masculine,juego,juegos,de,NounPPFrame,domain,domain,1,dbo:publisher,dbo:VideoGame,dbo:Company/dbo:Publisher
membership-of,noun,masculine,miembro,miembros,de,NounPPFrame,range,domain,1,dbo:bandMember,dbo:Band,dbo:MusicalArtist
country-from,noun,masculine,país,país,de,NounPPFrame,range,domain,1,dbo:foundationPlace,dbo:Agent,dbo:City
holiday-of,noun,masculine,fiesta,fiesta,de,NounPPFrame,range,domain,1,dbo:type,dbo:Work,dbo:Type
son_of,noun,masculine,hijo,hijos,de,NounPPFrame,range,domain,1,dbo:child,dbo:Person,dbo:Person
state_in,noun,masculine,state,states,de,NounPPFrame,range,domain,1,rdf:type,dbo:Country,dbo:Holiday
series_of,noun,feminine,series,serieses,de,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:Work
root-of,noun,feminine,root,roots,de,NounPPFrame,range,domain,1,dbo:languageFamily,dbo:Language,dbo:Language
book_in,noun,masculine,libro,libros,de,NounPPFrame,range,domain,1,dbo:series,dbo:TelevisionEpisode,dbo:Work
host_of,noun,masculine,presentador,presentador,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person
book_by,noun,masculine,libro,libros,de,NounPPFrame,domain,range,1,dbo:author,dbo:Book,dbo:Writer
causeOfDeath_of,noun,feminine,cause de muerte,causas de muerte,de,NounPPFrame,range,range,1,dbo:deathCause,dbo:Person,xsd:String
first-person-to-climb_of,noun,masculine,primero en ascender,primero en ascender,de,NounPPFrame,range,range,1,dbo:firstAscentPerson,dbo:Place,dbo:Agent
autobiography-of,noun,feminine,autobiografía,autobiografías,de,NounPPFrame,range,range,1,dbo:literaryGenre,dbo:Autobiography,dbo:Author
borough-of,noun,feminine,condados,condados,de,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Town,owl:Thing
founder_of,noun,masculine,fundador,fundadores,de,NounPPFrame,range,range,1,dbo:foundedBy,dbo:BroadcastNetwork,dbo:Company
first-name_of,noun,feminine,sede,sede,de,NounPPFrame,range,range,1,dbo:alias,dbo:Person,xsd:String
movie_with,noun,feminine,película,películas,de,NounPPFrame,range,range,1,dbo:alias,dbo:Person,xsd:String
