LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range
tätig,adjective,tätig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
tschechisch,adjective,tschechisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
hauptsächlich,adjective,hauptsächlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
tätig,adjective,tätig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
hauptsächlich,adjective,hauptsächlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
langjährig,adjective,langjährig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
zahlreich,adjective,zahlreich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
amerikanisch,adjective,amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
gelegentlich,adjective,gelegentlich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
südkoreanisch,adjective,südkoreanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
früh,adjective,früh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
international,adjective,international,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
zahlreich,adjective,zahlreich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
amerikanisch,adjective,amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
zahlreich,adjective,zahlreich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
bekannt,adjective,bekannt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
amerikanisch,adjective,amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathDate,,dbo:Person,dbo:Person
früh,adjective,früh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
schwedisch,adjective,schwedisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
häufig,adjective,häufig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
polnisch,adjective,polnisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
international,adjective,international,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
regelmäßig,adjective,regelmäßig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
spät,adjective,spät,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
indisch,adjective,indisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
gut,adjective,gut,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
breit,adjective,breit,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
langjährig,adjective,langjährig,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
groß,adjective,groß,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
populär,adjective,populär,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
früh,adjective,früh,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
russisch,adjective,russisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
vereinigt,adjective,vereinigt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
aktiv,adjective,aktiv,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
bekannt,adjective,bekannt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
vereinigt,adjective,vereinigt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
vereinigt,adjective,vereinigt,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/locatedInArea,,dbo:Person,dbo:Person
italienisch,adjective,italienisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/city,,dbo:Person,dbo:Person
italienisch,adjective,italienisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/locatedInArea,,dbo:Person,dbo:Person
ladinisch,adjective,ladinisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/city,,dbo:Person,dbo:Person
südafrikanisch,adjective,südafrikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
US-amerikanisch,adjective,US-amerikanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/locatedInArea,,dbo:Person,dbo:Person
groß,adjective,groß,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
dänisch,adjective,dänisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/largestCity,,dbo:Person,dbo:Person
groß,adjective,groß,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/city,,dbo:Person,dbo:Person
dänisch,adjective,dänisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/birthPlace,,dbo:Person,dbo:Person
ladinisch,adjective,ladinisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/deathPlace,,dbo:Person,dbo:Person
groß,adjective,groß,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/locatedInArea,,dbo:Person,dbo:Person
lokal,adjective,lokal,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,http://dbpedia.org/ontology/locatedInArea,,dbo:Person,dbo:Person
